restaurant_name,available_times
The Green Leaf,"12:00 pm, 01:00 pm, 07:00 pm"
Ocean Breeze,"01:00 pm, 03:00 pm, 07:00 pm"
Spice Symphony,"11:30am, 01:30 pm, 05:00 pm"
Golden Spoon,"12:00 pm, 03:00 pm, 06:00 pm"
Bella Italia,"12:30 pm, 02:30 pm, 07:30 pm"
The Rustic Grill,"11:00 am, 02:00 pm, 05:00 pm, 09:00 pm"
Ocean Delights,"12:00 pm, 04:00 pm, 06:30 pm"
The Farmhouse,"10:30 am, 01:30 pm, 04:00 pm, 07:30 pm"
Urban Bistro,"11:00 am, 01:30 pm, 05:30 pm, 08:00 pm"
Café Paradiso,"09:00 am, 12:00 pm, 03:00 pm, 06:00 pm"
